Running in LMC mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_58
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
epoch: [0], step: [9/1581], batch loss: 1.98482, batch accuracy: 18.75, data load time: 0.00021, step time: 0.01084
epoch: [0], step: [19/1581], batch loss: 2.06321, batch accuracy: 12.50, data load time: 0.00028, step time: 0.01130
epoch: [0], step: [29/1581], batch loss: 2.23365, batch accuracy: 6.25, data load time: 0.00027, step time: 0.01128
epoch: [0], step: [39/1581], batch loss: 2.35856, batch accuracy: 3.12, data load time: 0.00019, step time: 0.01172
epoch: [0], step: [49/1581], batch loss: 2.08237, batch accuracy: 12.50, data load time: 0.00028, step time: 0.00959
epoch: [0], step: [59/1581], batch loss: 2.32314, batch accuracy: 3.12, data load time: 0.00021, step time: 0.00981
epoch: [0], step: [69/1581], batch loss: 2.06539, batch accuracy: 12.50, data load time: 0.00023, step time: 0.00995
epoch: [0], step: [79/1581], batch loss: 2.07953, batch accuracy: 12.50, data load time: 0.00020, step time: 0.01018
epoch: [0], step: [89/1581], batch loss: 2.33771, batch accuracy: 3.12, data load time: 0.00020, step time: 0.01179
epoch: [0], step: [99/1581], batch loss: 2.23428, batch accuracy: 6.25, data load time: 0.00047, step time: 0.00988
epoch: [0], step: [109/1581], batch loss: 2.13206, batch accuracy: 12.50, data load time: 0.00032, step time: 0.01115
epoch: [0], step: [119/1581], batch loss: 2.22398, batch accuracy: 6.25, data load time: 0.00031, step time: 0.01085
epoch: [0], step: [129/1581], batch loss: 2.06128, batch accuracy: 12.50, data load time: 0.00022, step time: 0.01025
epoch: [0], step: [139/1581], batch loss: 2.33790, batch accuracy: 3.12, data load time: 0.00021, step time: 0.00985
epoch: [0], step: [149/1581], batch loss: 1.98616, batch accuracy: 15.62, data load time: 0.00020, step time: 0.01174
epoch: [0], step: [159/1581], batch loss: 2.24765, batch accuracy: 6.25, data load time: 0.00030, step time: 0.00968
epoch: [0], step: [169/1581], batch loss: 2.06597, batch accuracy: 12.50, data load time: 0.00021, step time: 0.01054
epoch: [0], step: [179/1581], batch loss: 2.25582, batch accuracy: 6.25, data load time: 0.00020, step time: 0.01172
epoch: [0], step: [189/1581], batch loss: 2.04394, batch accuracy: 12.50, data load time: 0.00030, step time: 0.00996
epoch: [0], step: [199/1581], batch loss: 2.22822, batch accuracy: 6.25, data load time: 0.00020, step time: 0.01102
epoch: [0], step: [209/1581], batch loss: 2.09635, batch accuracy: 12.50, data load time: 0.00022, step time: 0.01099
epoch: [0], step: [219/1581], batch loss: 2.16727, batch accuracy: 9.38, data load time: 0.00023, step time: 0.01216
epoch: [0], step: [229/1581], batch loss: 1.96617, batch accuracy: 18.75, data load time: 0.00020, step time: 0.01118
epoch: [0], step: [239/1581], batch loss: 2.00434, batch accuracy: 15.62, data load time: 0.00020, step time: 0.01137
epoch: [0], step: [249/1581], batch loss: 1.89764, batch accuracy: 25.00, data load time: 0.00020, step time: 0.01103
epoch: [0], step: [259/1581], batch loss: 2.34894, batch accuracy: 3.12, data load time: 0.00055, step time: 0.01112
epoch: [0], step: [269/1581], batch loss: 2.05008, batch accuracy: 15.62, data load time: 0.00020, step time: 0.01112
epoch: [0], step: [279/1581], batch loss: 2.10861, batch accuracy: 12.50, data load time: 0.00020, step time: 0.01113
epoch: [0], step: [289/1581], batch loss: 2.01909, batch accuracy: 15.62, data load time: 0.00030, step time: 0.01111
epoch: [0], step: [299/1581], batch loss: 2.03388, batch accuracy: 15.62, data load time: 0.00020, step time: 0.01108
epoch: [0], step: [309/1581], batch loss: 2.34319, batch accuracy: 3.12, data load time: 0.00026, step time: 0.01109
epoch: [0], step: [319/1581], batch loss: 2.06376, batch accuracy: 12.50, data load time: 0.00022, step time: 0.01118
epoch: [0], step: [329/1581], batch loss: 2.10555, batch accuracy: 12.50, data load time: 0.00021, step time: 0.01148
epoch: [0], step: [339/1581], batch loss: 2.18712, batch accuracy: 9.38, data load time: 0.00020, step time: 0.01120
epoch: [0], step: [349/1581], batch loss: 2.26300, batch accuracy: 6.25, data load time: 0.00023, step time: 0.01012
epoch: [0], step: [359/1581], batch loss: 2.06377, batch accuracy: 12.50, data load time: 0.00051, step time: 0.01129
epoch: [0], step: [369/1581], batch loss: 1.88055, batch accuracy: 21.88, data load time: 0.00021, step time: 0.01133
epoch: [0], step: [379/1581], batch loss: 2.06581, batch accuracy: 12.50, data load time: 0.00021, step time: 0.00957
