Running in TSCNN mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_61
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
model: lmc, epoch: [0], step: [9/1581], batch loss: 2.32909, batch accuracy: 6.25, data load time: 0.00026, step time: 0.02931
model: mc, epoch: [0], step: [9/1581], batch loss: 2.14014, batch accuracy: 9.38, data load time: 0.00026, step time: 0.02931
model: lmc, epoch: [0], step: [19/1581], batch loss: 2.05932, batch accuracy: 15.62, data load time: 0.00027, step time: 0.01980
model: mc, epoch: [0], step: [19/1581], batch loss: 2.00121, batch accuracy: 15.62, data load time: 0.00027, step time: 0.01980
model: lmc, epoch: [0], step: [29/1581], batch loss: 2.04853, batch accuracy: 15.62, data load time: 0.00038, step time: 0.03627
model: mc, epoch: [0], step: [29/1581], batch loss: 2.06326, batch accuracy: 15.62, data load time: 0.00038, step time: 0.03627
model: lmc, epoch: [0], step: [39/1581], batch loss: 2.23785, batch accuracy: 6.25, data load time: 0.00040, step time: 0.01794
model: mc, epoch: [0], step: [39/1581], batch loss: 2.14797, batch accuracy: 9.38, data load time: 0.00040, step time: 0.01794
model: lmc, epoch: [0], step: [49/1581], batch loss: 1.96481, batch accuracy: 18.75, data load time: 0.00041, step time: 0.02604
model: mc, epoch: [0], step: [49/1581], batch loss: 2.15115, batch accuracy: 9.38, data load time: 0.00041, step time: 0.02604
model: lmc, epoch: [0], step: [59/1581], batch loss: 2.08901, batch accuracy: 12.50, data load time: 0.00870, step time: 0.01962
model: mc, epoch: [0], step: [59/1581], batch loss: 2.07856, batch accuracy: 12.50, data load time: 0.00870, step time: 0.01962
model: lmc, epoch: [0], step: [69/1581], batch loss: 1.97574, batch accuracy: 18.75, data load time: 0.00767, step time: 0.01986
model: mc, epoch: [0], step: [69/1581], batch loss: 2.03495, batch accuracy: 15.62, data load time: 0.00767, step time: 0.01986
model: lmc, epoch: [0], step: [79/1581], batch loss: 1.91202, batch accuracy: 21.88, data load time: 0.00030, step time: 0.01810
model: mc, epoch: [0], step: [79/1581], batch loss: 2.01991, batch accuracy: 15.62, data load time: 0.00030, step time: 0.01810
model: lmc, epoch: [0], step: [89/1581], batch loss: 2.02609, batch accuracy: 15.62, data load time: 0.00029, step time: 0.01816
model: mc, epoch: [0], step: [89/1581], batch loss: 2.15177, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01816
model: lmc, epoch: [0], step: [99/1581], batch loss: 1.84158, batch accuracy: 28.12, data load time: 0.00624, step time: 0.01889
model: mc, epoch: [0], step: [99/1581], batch loss: 2.10902, batch accuracy: 12.50, data load time: 0.00624, step time: 0.01889
model: lmc, epoch: [0], step: [109/1581], batch loss: 1.90232, batch accuracy: 21.88, data load time: 0.00028, step time: 0.01824
model: mc, epoch: [0], step: [109/1581], batch loss: 1.96490, batch accuracy: 18.75, data load time: 0.00028, step time: 0.01824
model: lmc, epoch: [0], step: [119/1581], batch loss: 1.93160, batch accuracy: 25.00, data load time: 0.00034, step time: 0.01854
model: mc, epoch: [0], step: [119/1581], batch loss: 2.06247, batch accuracy: 15.62, data load time: 0.00034, step time: 0.01854
model: lmc, epoch: [0], step: [129/1581], batch loss: 1.89283, batch accuracy: 25.00, data load time: 0.00029, step time: 0.01819
model: mc, epoch: [0], step: [129/1581], batch loss: 2.04782, batch accuracy: 15.62, data load time: 0.00029, step time: 0.01819
model: lmc, epoch: [0], step: [139/1581], batch loss: 1.97273, batch accuracy: 18.75, data load time: 0.00028, step time: 0.02325
model: mc, epoch: [0], step: [139/1581], batch loss: 2.25550, batch accuracy: 6.25, data load time: 0.00028, step time: 0.02325
model: lmc, epoch: [0], step: [149/1581], batch loss: 1.96623, batch accuracy: 21.88, data load time: 0.00095, step time: 0.02190
model: mc, epoch: [0], step: [149/1581], batch loss: 2.18939, batch accuracy: 9.38, data load time: 0.00095, step time: 0.02190
model: lmc, epoch: [0], step: [159/1581], batch loss: 1.88830, batch accuracy: 21.88, data load time: 0.00030, step time: 0.03415
model: mc, epoch: [0], step: [159/1581], batch loss: 1.93174, batch accuracy: 18.75, data load time: 0.00030, step time: 0.03415
model: lmc, epoch: [0], step: [169/1581], batch loss: 2.12975, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01820
model: mc, epoch: [0], step: [169/1581], batch loss: 2.21236, batch accuracy: 6.25, data load time: 0.00029, step time: 0.01820
model: lmc, epoch: [0], step: [179/1581], batch loss: 1.90423, batch accuracy: 21.88, data load time: 0.00457, step time: 0.02125
model: mc, epoch: [0], step: [179/1581], batch loss: 1.94975, batch accuracy: 18.75, data load time: 0.00457, step time: 0.02125
model: lmc, epoch: [0], step: [189/1581], batch loss: 1.95658, batch accuracy: 18.75, data load time: 0.00029, step time: 0.01861
model: mc, epoch: [0], step: [189/1581], batch loss: 2.16865, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01861
model: lmc, epoch: [0], step: [199/1581], batch loss: 1.99628, batch accuracy: 15.62, data load time: 0.00784, step time: 0.01868
model: mc, epoch: [0], step: [199/1581], batch loss: 2.13517, batch accuracy: 9.38, data load time: 0.00784, step time: 0.01868
model: lmc, epoch: [0], step: [209/1581], batch loss: 1.88027, batch accuracy: 25.00, data load time: 0.00040, step time: 0.01798
model: mc, epoch: [0], step: [209/1581], batch loss: 2.17578, batch accuracy: 9.38, data load time: 0.00040, step time: 0.01798
model: lmc, epoch: [0], step: [219/1581], batch loss: 1.91666, batch accuracy: 25.00, data load time: 0.00029, step time: 0.01801
model: mc, epoch: [0], step: [219/1581], batch loss: 2.18793, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01801
model: lmc, epoch: [0], step: [229/1581], batch loss: 1.83227, batch accuracy: 28.12, data load time: 0.00029, step time: 0.01992
