Running in TSCNN mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_73
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
epoch: [0], step: [9/1581], batch loss: 2.23146, batch accuracy: 9.38, data load time: 0.00019, step time: 0.00940
epoch: [0], step: [19/1581], batch loss: 2.10900, batch accuracy: 12.50, data load time: 0.00019, step time: 0.01003
epoch: [0], step: [29/1581], batch loss: 2.05550, batch accuracy: 15.62, data load time: 0.00029, step time: 0.01030
epoch: [0], step: [39/1581], batch loss: 2.13634, batch accuracy: 15.62, data load time: 0.00026, step time: 0.01229
epoch: [0], step: [49/1581], batch loss: 1.92995, batch accuracy: 18.75, data load time: 0.00020, step time: 0.01258
epoch: [0], step: [59/1581], batch loss: 2.23835, batch accuracy: 6.25, data load time: 0.00043, step time: 0.01011
epoch: [0], step: [69/1581], batch loss: 2.05253, batch accuracy: 15.62, data load time: 0.00034, step time: 0.00960
epoch: [0], step: [79/1581], batch loss: 2.25647, batch accuracy: 6.25, data load time: 0.00024, step time: 0.00983
epoch: [0], step: [89/1581], batch loss: 2.08114, batch accuracy: 12.50, data load time: 0.00027, step time: 0.01006
epoch: [0], step: [99/1581], batch loss: 2.06288, batch accuracy: 12.50, data load time: 0.00021, step time: 0.00996
epoch: [0], step: [109/1581], batch loss: 1.94257, batch accuracy: 18.75, data load time: 0.00402, step time: 0.00973
epoch: [0], step: [119/1581], batch loss: 1.95757, batch accuracy: 18.75, data load time: 0.00026, step time: 0.01159
epoch: [0], step: [129/1581], batch loss: 2.27733, batch accuracy: 6.25, data load time: 0.00023, step time: 0.01034
epoch: [0], step: [139/1581], batch loss: 1.84616, batch accuracy: 28.12, data load time: 0.00025, step time: 0.01035
epoch: [0], step: [149/1581], batch loss: 2.06631, batch accuracy: 12.50, data load time: 0.00023, step time: 0.00991
epoch: [0], step: [159/1581], batch loss: 1.98675, batch accuracy: 15.62, data load time: 0.00022, step time: 0.01118
epoch: [0], step: [169/1581], batch loss: 1.83755, batch accuracy: 28.12, data load time: 0.00022, step time: 0.01038
epoch: [0], step: [179/1581], batch loss: 1.90437, batch accuracy: 21.88, data load time: 0.00022, step time: 0.01035
epoch: [0], step: [189/1581], batch loss: 1.98753, batch accuracy: 15.62, data load time: 0.00023, step time: 0.01067
epoch: [0], step: [199/1581], batch loss: 1.91325, batch accuracy: 21.88, data load time: 0.00028, step time: 0.01018
epoch: [0], step: [209/1581], batch loss: 1.97845, batch accuracy: 15.62, data load time: 0.00022, step time: 0.01037
epoch: [0], step: [219/1581], batch loss: 2.02820, batch accuracy: 15.62, data load time: 0.00381, step time: 0.00989
epoch: [0], step: [229/1581], batch loss: 2.19737, batch accuracy: 9.38, data load time: 0.00024, step time: 0.00977
epoch: [0], step: [239/1581], batch loss: 1.86229, batch accuracy: 28.12, data load time: 0.00024, step time: 0.00931
epoch: [0], step: [249/1581], batch loss: 1.84638, batch accuracy: 28.12, data load time: 0.00024, step time: 0.01052
epoch: [0], step: [259/1581], batch loss: 2.05256, batch accuracy: 12.50, data load time: 0.00035, step time: 0.00985
epoch: [0], step: [269/1581], batch loss: 1.92831, batch accuracy: 21.88, data load time: 0.00023, step time: 0.01095
epoch: [0], step: [279/1581], batch loss: 1.99770, batch accuracy: 15.62, data load time: 0.00024, step time: 0.00987
epoch: [0], step: [289/1581], batch loss: 1.84584, batch accuracy: 31.25, data load time: 0.00022, step time: 0.01480
