Running in MLMC mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_57
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
epoch: [0], step: [9/1581], batch loss: 2.15345, batch accuracy: 9.38, data load time: 0.00883, step time: 0.01420
epoch: [0], step: [19/1581], batch loss: 2.35342, batch accuracy: 3.12, data load time: 0.00914, step time: 0.01421
epoch: [0], step: [29/1581], batch loss: 2.21466, batch accuracy: 6.25, data load time: 0.00034, step time: 0.02245
epoch: [0], step: [39/1581], batch loss: 2.21461, batch accuracy: 6.25, data load time: 0.00025, step time: 0.02004
epoch: [0], step: [49/1581], batch loss: 2.15176, batch accuracy: 9.38, data load time: 0.00024, step time: 0.02251
epoch: [0], step: [59/1581], batch loss: 2.17844, batch accuracy: 9.38, data load time: 0.00613, step time: 0.01371
epoch: [0], step: [69/1581], batch loss: 2.15472, batch accuracy: 9.38, data load time: 0.00037, step time: 0.01360
epoch: [0], step: [79/1581], batch loss: 2.10861, batch accuracy: 12.50, data load time: 0.00030, step time: 0.01410
epoch: [0], step: [89/1581], batch loss: 1.93594, batch accuracy: 21.88, data load time: 0.00026, step time: 0.01468
epoch: [0], step: [99/1581], batch loss: 2.06317, batch accuracy: 12.50, data load time: 0.00024, step time: 0.02287
epoch: [0], step: [109/1581], batch loss: 2.11692, batch accuracy: 9.38, data load time: 0.00024, step time: 0.02286
epoch: [0], step: [119/1581], batch loss: 2.19945, batch accuracy: 6.25, data load time: 0.00025, step time: 0.02218
epoch: [0], step: [129/1581], batch loss: 2.09557, batch accuracy: 12.50, data load time: 0.00025, step time: 0.02256
epoch: [0], step: [139/1581], batch loss: 2.03604, batch accuracy: 15.62, data load time: 0.00023, step time: 0.01362
epoch: [0], step: [149/1581], batch loss: 2.05209, batch accuracy: 12.50, data load time: 0.00059, step time: 0.01616
epoch: [0], step: [159/1581], batch loss: 2.22504, batch accuracy: 6.25, data load time: 0.00026, step time: 0.02181
epoch: [0], step: [169/1581], batch loss: 2.46115, batch accuracy: 0.00, data load time: 0.00028, step time: 0.01372
epoch: [0], step: [179/1581], batch loss: 2.04467, batch accuracy: 12.50, data load time: 0.00029, step time: 0.01371
epoch: [0], step: [189/1581], batch loss: 2.17777, batch accuracy: 9.38, data load time: 0.00025, step time: 0.02185
epoch: [0], step: [199/1581], batch loss: 1.95258, batch accuracy: 18.75, data load time: 0.00364, step time: 0.01395
epoch: [0], step: [209/1581], batch loss: 2.25628, batch accuracy: 6.25, data load time: 0.00025, step time: 0.01443
epoch: [0], step: [219/1581], batch loss: 2.13933, batch accuracy: 9.38, data load time: 0.00025, step time: 0.01357
epoch: [0], step: [229/1581], batch loss: 2.09742, batch accuracy: 12.50, data load time: 0.00024, step time: 0.01411
epoch: [0], step: [239/1581], batch loss: 2.13529, batch accuracy: 9.38, data load time: 0.00026, step time: 0.01471
epoch: [0], step: [249/1581], batch loss: 1.87949, batch accuracy: 21.88, data load time: 0.00024, step time: 0.01351
epoch: [0], step: [259/1581], batch loss: 2.14362, batch accuracy: 9.38, data load time: 0.00062, step time: 0.01355
epoch: [0], step: [269/1581], batch loss: 2.33234, batch accuracy: 3.12, data load time: 0.00025, step time: 0.01352
epoch: [0], step: [279/1581], batch loss: 2.07914, batch accuracy: 12.50, data load time: 0.00026, step time: 0.01377
epoch: [0], step: [289/1581], batch loss: 2.06467, batch accuracy: 12.50, data load time: 0.00025, step time: 0.01355
epoch: [0], step: [299/1581], batch loss: 2.04742, batch accuracy: 15.62, data load time: 0.00025, step time: 0.01380
epoch: [0], step: [309/1581], batch loss: 2.32971, batch accuracy: 3.12, data load time: 0.00023, step time: 0.01357
epoch: [0], step: [319/1581], batch loss: 2.04616, batch accuracy: 12.50, data load time: 0.00640, step time: 0.01356
epoch: [0], step: [329/1581], batch loss: 2.04033, batch accuracy: 15.62, data load time: 0.00023, step time: 0.01382
epoch: [0], step: [339/1581], batch loss: 2.35868, batch accuracy: 3.12, data load time: 0.00025, step time: 0.02368
epoch: [0], step: [349/1581], batch loss: 2.05974, batch accuracy: 12.50, data load time: 0.00027, step time: 0.01516
epoch: [0], step: [359/1581], batch loss: 2.34262, batch accuracy: 3.12, data load time: 0.00029, step time: 0.01422
epoch: [0], step: [369/1581], batch loss: 2.15197, batch accuracy: 9.38, data load time: 0.00027, step time: 0.02669
epoch: [0], step: [379/1581], batch loss: 2.00351, batch accuracy: 15.62, data load time: 0.00026, step time: 0.02296
epoch: [0], step: [389/1581], batch loss: 1.94779, batch accuracy: 18.75, data load time: 0.00026, step time: 0.02165
epoch: [0], step: [399/1581], batch loss: 1.99729, batch accuracy: 15.62, data load time: 0.00025, step time: 0.02369
epoch: [0], step: [409/1581], batch loss: 2.15355, batch accuracy: 9.38, data load time: 0.00029, step time: 0.02146
epoch: [0], step: [419/1581], batch loss: 2.22946, batch accuracy: 6.25, data load time: 0.00026, step time: 0.02175
epoch: [0], step: [429/1581], batch loss: 2.14722, batch accuracy: 9.38, data load time: 0.00025, step time: 0.02300
epoch: [0], step: [439/1581], batch loss: 2.17916, batch accuracy: 15.62, data load time: 0.00025, step time: 0.02568
epoch: [0], step: [449/1581], batch loss: 2.05897, batch accuracy: 15.62, data load time: 0.00027, step time: 0.01354
epoch: [0], step: [459/1581], batch loss: 2.20268, batch accuracy: 9.38, data load time: 0.00024, step time: 0.01684
epoch: [0], step: [469/1581], batch loss: 2.17454, batch accuracy: 18.75, data load time: 0.00028, step time: 0.01427
epoch: [0], step: [479/1581], batch loss: 1.97398, batch accuracy: 18.75, data load time: 0.00025, step time: 0.02155
epoch: [0], step: [489/1581], batch loss: 2.05394, batch accuracy: 18.75, data load time: 0.00035, step time: 0.02341
epoch: [0], step: [499/1581], batch loss: 2.07229, batch accuracy: 12.50, data load time: 0.00502, step time: 0.01396
epoch: [0], step: [509/1581], batch loss: 1.90558, batch accuracy: 25.00, data load time: 0.00899, step time: 0.01380
epoch: [0], step: [519/1581], batch loss: 2.03785, batch accuracy: 21.88, data load time: 0.00035, step time: 0.02198
epoch: [0], step: [529/1581], batch loss: 2.07963, batch accuracy: 21.88, data load time: 0.00031, step time: 0.01361
epoch: [0], step: [539/1581], batch loss: 1.98742, batch accuracy: 15.62, data load time: 0.00026, step time: 0.01349
epoch: [0], step: [549/1581], batch loss: 1.91845, batch accuracy: 25.00, data load time: 0.00027, step time: 0.01500
epoch: [0], step: [559/1581], batch loss: 1.99250, batch accuracy: 21.88, data load time: 0.00376, step time: 0.01930
epoch: [0], step: [569/1581], batch loss: 1.95679, batch accuracy: 21.88, data load time: 0.00025, step time: 0.02326
epoch: [0], step: [579/1581], batch loss: 2.09371, batch accuracy: 21.88, data load time: 0.00027, step time: 0.01691
epoch: [0], step: [589/1581], batch loss: 1.90934, batch accuracy: 25.00, data load time: 0.00853, step time: 0.02199
epoch: [0], step: [599/1581], batch loss: 2.04509, batch accuracy: 12.50, data load time: 0.00030, step time: 0.01403
epoch: [0], step: [609/1581], batch loss: 2.04120, batch accuracy: 15.62, data load time: 0.00695, step time: 0.02220
epoch: [0], step: [619/1581], batch loss: 2.06984, batch accuracy: 21.88, data load time: 0.00025, step time: 0.02133
epoch: [0], step: [629/1581], batch loss: 1.94059, batch accuracy: 21.88, data load time: 0.00032, step time: 0.01351
epoch: [0], step: [639/1581], batch loss: 1.91588, batch accuracy: 31.25, data load time: 0.00066, step time: 0.01349
epoch: [0], step: [649/1581], batch loss: 2.08991, batch accuracy: 12.50, data load time: 0.00026, step time: 0.02244
epoch: [0], step: [659/1581], batch loss: 2.09786, batch accuracy: 18.75, data load time: 0.00031, step time: 0.01434
epoch: [0], step: [669/1581], batch loss: 2.08108, batch accuracy: 15.62, data load time: 0.00033, step time: 0.01452
epoch: [0], step: [679/1581], batch loss: 1.86846, batch accuracy: 31.25, data load time: 0.00035, step time: 0.01457
epoch: [0], step: [689/1581], batch loss: 1.91754, batch accuracy: 25.00, data load time: 0.00025, step time: 0.01352
epoch: [0], step: [699/1581], batch loss: 2.03081, batch accuracy: 18.75, data load time: 0.00026, step time: 0.01350
epoch: [0], step: [709/1581], batch loss: 2.00951, batch accuracy: 15.62, data load time: 0.00333, step time: 0.01393
epoch: [0], step: [719/1581], batch loss: 1.95849, batch accuracy: 21.88, data load time: 0.00036, step time: 0.01348
epoch: [0], step: [729/1581], batch loss: 1.96280, batch accuracy: 21.88, data load time: 0.00025, step time: 0.01351
epoch: [0], step: [739/1581], batch loss: 1.94230, batch accuracy: 25.00, data load time: 0.00025, step time: 0.01353
epoch: [0], step: [749/1581], batch loss: 1.94370, batch accuracy: 25.00, data load time: 0.00025, step time: 0.01349
