Running in MC mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_64
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
epoch: [0], step: [9/1581], batch loss: 2.03158, batch accuracy: 12.50, data load time: 0.00034, step time: 0.01150
epoch: [0], step: [19/1581], batch loss: 2.10895, batch accuracy: 12.50, data load time: 0.00020, step time: 0.01214
epoch: [0], step: [29/1581], batch loss: 2.26418, batch accuracy: 6.25, data load time: 0.00030, step time: 0.01191
epoch: [0], step: [39/1581], batch loss: 2.33776, batch accuracy: 3.12, data load time: 0.00022, step time: 0.01065
epoch: [0], step: [49/1581], batch loss: 2.09487, batch accuracy: 12.50, data load time: 0.00021, step time: 0.01106
epoch: [0], step: [59/1581], batch loss: 2.24639, batch accuracy: 6.25, data load time: 0.00032, step time: 0.01097
epoch: [0], step: [69/1581], batch loss: 2.01325, batch accuracy: 18.75, data load time: 0.00022, step time: 0.01055
epoch: [0], step: [79/1581], batch loss: 2.00422, batch accuracy: 15.62, data load time: 0.00022, step time: 0.01098
epoch: [0], step: [89/1581], batch loss: 2.23346, batch accuracy: 6.25, data load time: 0.00022, step time: 0.00999
epoch: [0], step: [99/1581], batch loss: 2.09567, batch accuracy: 12.50, data load time: 0.00022, step time: 0.01239
epoch: [0], step: [109/1581], batch loss: 2.06301, batch accuracy: 12.50, data load time: 0.00031, step time: 0.01062
epoch: [0], step: [119/1581], batch loss: 2.17265, batch accuracy: 9.38, data load time: 0.00033, step time: 0.01099
epoch: [0], step: [129/1581], batch loss: 2.08239, batch accuracy: 12.50, data load time: 0.00025, step time: 0.00984
epoch: [0], step: [139/1581], batch loss: 2.16311, batch accuracy: 9.38, data load time: 0.00024, step time: 0.01116
epoch: [0], step: [149/1581], batch loss: 1.96604, batch accuracy: 18.75, data load time: 0.00022, step time: 0.00992
epoch: [0], step: [159/1581], batch loss: 2.02614, batch accuracy: 18.75, data load time: 0.00160, step time: 0.01106
epoch: [0], step: [169/1581], batch loss: 2.15068, batch accuracy: 9.38, data load time: 0.00031, step time: 0.01065
epoch: [0], step: [179/1581], batch loss: 2.16352, batch accuracy: 9.38, data load time: 0.00023, step time: 0.01045
epoch: [0], step: [189/1581], batch loss: 2.10187, batch accuracy: 12.50, data load time: 0.00023, step time: 0.01043
epoch: [0], step: [199/1581], batch loss: 2.24791, batch accuracy: 6.25, data load time: 0.00024, step time: 0.00996
epoch: [0], step: [209/1581], batch loss: 2.15060, batch accuracy: 9.38, data load time: 0.00022, step time: 0.01050
epoch: [0], step: [219/1581], batch loss: 2.24675, batch accuracy: 6.25, data load time: 0.00361, step time: 0.01058
epoch: [0], step: [229/1581], batch loss: 1.85849, batch accuracy: 25.00, data load time: 0.00021, step time: 0.00935
epoch: [0], step: [239/1581], batch loss: 2.33224, batch accuracy: 3.12, data load time: 0.00022, step time: 0.00980
epoch: [0], step: [249/1581], batch loss: 2.10004, batch accuracy: 9.38, data load time: 0.00021, step time: 0.01004
epoch: [0], step: [259/1581], batch loss: 2.23875, batch accuracy: 6.25, data load time: 0.00065, step time: 0.00964
epoch: [0], step: [269/1581], batch loss: 2.17735, batch accuracy: 9.38, data load time: 0.00023, step time: 0.00969
